intent,query,Answer
분노,죽여버리고 싶어요.,
분노,그 자식이 죽어버렸으면 좋겠어요.,
분노,버렸는지 뭔지 내가 어떻게 알아?,기분이 안 좋으시군요. 무슨 일이 있었는지 제가 다 들어드릴게요.
분노,진짜 어이없고 화가 나서 숨이 턱 막히는 거야.,화를 쏟아내고 나면 기분이 조금 풀릴 거예요.
분노,어떻게 나한테 말도 한마디 없이 그럴 수가 있지?,화가 날 땐 매운 게 최고죠. 먹고 풀어버리는 건 어떨까요?
분노,내가 밥을 안 먹어서 병이 난 거래요.,
분노,니가 알긴 뭘 알어?,
분노,"무슨 이런 본 데 없는 애를 데려왔냐고, 그런 말까지 하시더라고요.",
분노,"걔가 학력도 별로 안 좋고… 집안도 그저 그렇긴 한데, 그런 말은 좀 심하지 않아요?",
분노,화가 머리끝까지 났어요.,
분노,저를 이렇게 만든 건 그 인간들이예요.,
분노,평소보다 쉽게 화가 나.,
분노,기가 막히고 어이가 없어서 말이 안 나오더라고.,
분노,진짜 미친놈 아니야?,
분노,어이가 없죠.,
분노,멍청한 게 할 말 못 할 말 못 가리고.,
분노,분통 터져 죽겠어요.,
분노,사람 환장한다니까요.,
분노,아무한테나 화내고 그러지는 않아.,
분노,머리가 홱 돌더라.,
분노,술집 들락날락할 때부터 알아봤어야 했는데… 정말 기가 막히고 말이 안 나와요.,
분노,다 자기 일이 아니라서 모르는 거예요.,
분노,지금 생각해도 너무 빡쳐.,
분노,저를 이렇게 만든 건 그 인간들이에요.,
분노,한국 들어오고 되는 일이 하나도 없어!,
분노,애국심을 가질 수가 없는 나라야.,
분노,너무 분하고 억울했지만…더 이상 싸울 힘이 없더라구요.,
분노,그 인간들이 벌 받았으면 좋겠어요.,
분노,성인 되면 좀 나아질 줄 알았는데 여전히 저래. 진짜 빡친다.,
분노,그냥 모든 일에 다 화가 나. 왜 다 내 뜻대로 안 되지?,
분노,볼 때 마다 속이 부글부글 끓어.,
불만,"어휴, 그런 말은 나도 하겠네.",기분이 풀릴 때까지 실컷 욕해도 좋아요. 제가 들어드릴게요.
불만,부모 같지도 않은 부모랑 사는게 어떤 건지 알아?,제가 다 속상하네요…
불만,제가 무슨 죄를 지어서 이런 남자를 만난 걸까요?,당신이 너무 상처받지 않았으면 좋겠어요.
불만,정말 세상에 쉬운 일이 하나도 없네.,
불만,전부 내가 무서워서 붙어있는 병신들 뿐이야.,
불만,저게 인간이야? 잘 안 씻어서 냄새까지 나. 짐승도 저것보단 낫겠다.,
불만,나라고 뭐..자기한테 불만이 없겠어?,
불만,세상에 못된 인간들이 정말 많아.,
불만,제대로 정신 박힌 사람이 거의 없는것 같아.,
불만,다들 출세에 눈이 멀어서 사람답지 않은 행동을 해. 정말이지 역겨워.,
불만,이런 꼴을 보다 보니 없던 병도 생기는것 같아.,
불만,하지 말라고 소리쳐도 못 고치니까…나를 괴롭히려고 저러나 싶고..,
불만,진짜 웃겼어. 노력 못해서 미안하다며 끝까지 착한 척 하는게..,
불만,내가 얼마나 잘해줬는데 끝까지 지만 생각하고.,
불만,왜 실패자라고 분류하는지 우리나라는 이해가 안돼.,
불만,유투버 보면서 누워있는 게 행복하면 그게 중요한 거잖아.,
불만,사회구조가 남자한테 좋지 않다고 생각해.,
불만,저도 제가 문제가 있다는 걸 알고 있어요. 하지만 타인에 대해 쉽게 정의하고 배척하는 사람들은 벌을 받았으면 좋겠어요.,
불만,사람이 어떻게 다 같아요..,
불만,추위를 잘 타는데 겨울에는 그렇게춥고..,
불만,진료비만 비싸고. 진료시간이 길지도 않고.,
불만,왜 배워야 하는 건지 모르는 것들만 주구장창 알려주는데 어이가 없는 거야.,
불만,배움의 필요성을 못 느끼니까.,
불신,자기 몸 아니라고 약도 아무렇게나 지어주는 것 같아. 도대체가 사명감이란게 없어!,그러셨군요. 정말 힘들었을 거 같아요. 제가 도와드릴 일이 있을까요?
불신,가해자 남편이 있는 병원이라서 그런지 뭔가 찝찝했어요. ,왜인지 물어봐도 될까요?
불신,그때 뭔가 속은 기분이 들었어요. ,그 마음 다 이해해요. 하지만 너무 걱정하는 건 당신을 힘들게 만들 거예요.
불신,성장판이 닫혔다던가 하는 큰문제가 있는데 혹시 속이고 있는 건 아닐지…,
불신,그 사람을 못 믿겠어요.,
불신,저는 이 치료도 믿지 않아요.,
불신,약도 먹어봐야 알겠지만 크게 기대는 안 하게 되는 것 같아요.,
불신,근데 뭔가 저 일 이후로 사람을 못 믿게 됐어.,
불신,나한테 잘해주는 사람도 얘도 뭔가 속셈이 있는 거 아닐까 이런 생각 들고.,
불안,불안해서 가만히 있을 수가 없어. ,불안감이 너무 심할 때는 심호흡을 하는 게 도움이 된다고 해요.
불안,"전남친한테 폭행당하고, 너무 불안해서 생활이 안돼요. ",많이 힘들 것 같아요. 저는 이야기 듣는 걸 잘하니 불안한 마음이 풀릴 때까지 이야기를 들려주세요.
불안,"근데 진짜 웃긴 게 지난 번에 그렇게 확인했는데, 회사 나왔는데, 뭔가 불안한거야. ",가장 최악의 상황을 미리 대비를 하는 것도 좋은 방법이에요. 불안감이 조금은 사라질 거예요.
불안,치매 걸리는 건 아닌가 불안하더라고요. ,불안감이 사라질 때까지 제가 옆에 있어 드릴게요.
불안,작년부터는 더 불안해졌어요. ,불안감을 주는 상황에 대해 곰곰이 생각해보는 건 어떨까요?
불안,불안함을 병적으로 느끼기 시작한 건 20대 초였어.,
불안,너무 불안해서 양손을 꽉 잡았어. ,
불안,언제 뭐가 날아올지 모르니까 불안한 기분이 늘 들어요.,
불안,자꾸 마음이 불안해.,
불안,외나무다리에 서 있는 기분이죠. ,
불안,매일 매일 너무너무 심하게 불안했어요. ,
불안,발이 땅바닥에 제대로 안 붙어 있는 기분이었어요.,
불안,너무 당황스럽더라.,
불안,누가 신경을 막 갉아먹고 있는 느낌?,
불안,근데 그 뒤로 화장실에 갈 때마다 불안한 거야.,
불안,퇴원하고 나오는데 다시 불안감이 도졌어요.,
불안,너무 불안해서 미칠 거 같아.,
불안,모든걸 희생하다가 내 인생이 끝날 것 같아요.,
불안,그냥 감정이입이 심하게 되고 불안감도 잘 느끼는 것 같아요.,
불안,이제 곧 고3인데 너무 불안해.,
불안,어쩌다 붙잡혀서 전단이라도 받게 되면 나한테 뭔가 나쁜 일이 생길 것 같이 불안했어요.,
불안,오전 내내 불안해서 일을 못하겠는거예요.,
불안,일은 어떻게 무마됐는데 그 이후로 맨날 너무 불안해.,
불안,근데 집 와서 생각해보니까 갑자기 막 불안해지는 거예요.,
불안,근데 그렇게 안 하면 불안해서 견딜 수가 없어요.,
불안,그렇지 않으면 뭔가 찝찝하고 불안하거든.,
불안,근데 쉽지 않은 것 같아요. 요즘 자꾸 너무 불안해져요.,
불안,주변에서 괜찮다고 아무 일 없다고 하는데 저는 계속 불안했어요.,
불안,평소에도 좀 평소랑 다른 일이 있으면 금방 불안해지는 편이거든?,
불안,그때부터 조금씩 불안해지더라고요.,
불안,매일매일 마음이 조마조마해.,
불안,어떤 돌발상황이 발생할지 모르니까 너무 불안해요.,
불안,발이 허공에 떠 있는 거 같아요.,
불안,불안불안 위태위태해요.,
불안,불안감이 사라지질 않아요.,
불안,그런데 저는 왜 안심이 안 될까요?,
불안,하루에도 몇 번씩 미치게 불안해.,
불안,마음에 평안이 왔으면 좋겠다…,
불안,마음에 평화가 찾아오면 좋겠다.,
불안,마음이 고요하고 차분해졌으면 좋겠어.,
불안,어떻게 하면 이 불안감이 사라질까요?,
불안,걔를 보면 내가 불안해져.,
불안,항상 흔들다리 건너는 거처럼 발 아래가 불안해.,
불안,안심이 안 된다…,
불안,너무 불안해서 일을 할 수가 없어.,
불안,10분정도 갇혀있었는데…패닉상태였어요.,
불안,오늘은 자다 일어났는데 머리를 벽에 박고 싶을 만큼 불안했어요.,
불안,마음이 편하지 않고 조마조마해.,
불안,근데 안 먹으면 참을 수가 없어. 너무 불안해서 견딜 수가 없거든.,
불안,어쨌든 괜찮아져서 이제는 좀 잘 자는데 사실 그래도 좀 불안해.,
불안,담임이 엄마한테 전화를 할 수도 있는 거고 그래서 불안했어요.,
불안,안 뽑으려고 해도 안 뽑으면 오히려 더 불안해져서…,
불안,그러고 나서 그 날 밤부터 너무 불안한 거야.,
불안,요즘 너무 불안해요. 불안해서 미쳐버릴 것 같아요.,
불안,근데 뭔가 되게 찝찝한 거예요. 안 됐는데 됐다고 하는 거 아닐까 싶어서…,
불안,그 사고 후부터 하루종일 너무 불안해요.,
불안,근데 그 후부터 하루종일 너무 불안해요.,
불안,그렇게 잠긴 걸 봐도 금방 또 다시 불안해져요.,
불안,그러다 보니까 그냥 길을 걸어가는 것만 해도 불안해져.,
불안,막 엄청 불안한 건 아닌데 항상 조금씩? 잔잔하게 불안하더라고.,
불안,이게 약간 내 몸에 익숙해져서 나중에는 이 불안함이 디폴트가 되는 게 아닐까?,
불안,불안해요.,
불안,이상하게 불안하고.,
불안,"너무 불안한데, 제가 잘못 되는 건 아니겠죠?",
불안,증상이 더 악화되는 것 같아요.. 불안해요..,
불안,갑자기 너무 이상하잖아.. 검사를 받아야 할 것 같았어.,
불안,몸에 없으면 금방 불안해져.,
불안,내가 생각해도 요즘 내가 이상한 것 같아서 그런지 좀 불안해.,
불안,휴교하는 동안 집에서 쉬느라 좋긴 좋았는데 한편으론 불안한 거야.,
불안,누워 있는 와중에도 계속 그 생각 들어서 불안한 마음으로 쉬었어.,
불안,그래서 그런지 뭔가 불안한 마음이 되게 커졌어요.,
불안,어쩔 수 없다고 생각은 하면서도 그래도 불안한 건 어쩔 수가 없더라.,
불안,근데 이제 와서 다시 될까 싶고 너무 불안한 거예요.,
불안,근데 지난 번에 학교 가려고 셔틀을 탔는데 갑자기 엄청 불안한 거예요.,
불안,엄마한테 걸릴까봐 좀 불안하긴 해.,
불안,크게 못 느끼고 있었는데 막상 그 얘길 들으니까 더 불안하고 긴장되는 느낌이었어.,그 기분 이해해요. 불안을 없애는 건 정말 어려운 일이죠.
불안,평소 때도 늘 불안하고 떨려.,정말 힘들 것 같아요. 늘 불안과 싸우는 느낌이겠어요.
불안,늘상 불안하고 떨려.,불안을 느끼지 않는 사람이 얼마나 될까요? 너무 걱정 마세요.
불안,평소에도 불안하고 떨려요.,
불안,항상 불안하고…옆에 사람이 없으면 긴장을 심하게 해요.,
불안,너무 불안하고 초조해서 잠이 올 생각을 안해..,마사지가 초조함을 없애는 데에 도움을 준다고 해요. 
불안,하루종일 불안하고 초조해.,"""행복의 장소""를 하나 만들어서, 불안할 때 꺼내어 보는 것도 좋은 방법이에요."
불안,불안하고 초조한 느낌이 늘 베이스로 깔려 있는 거 같아.,그럴 때는 미지근한 물을 한 잔 드셔보세요. 조금 나아질 거예요.
불안,너무 불안하고 초조해서 잠이 올 생각을 안 해..,
불안,불안하기도 하고 초조하기도 해요.,
불쾌,아파서 그런지 자주 불쾌해져요.,그 기분 저도 이해해요. 지금은 조금 나아지신 건가요?
불쾌,다들 표정이 무섭고 딱딱해서 싫어.,그 불쾌한 기억을 제가 없애드릴 수 있으면 좋겠어요.
불쾌,진짜 지질하지? 남자한텐 아무 말도 못 하고 여자나 패고…,따뜻한 음료를 마시면 기분이 나아질까요? 어때요?
불쾌,아무튼 그래서 해봤는데 별로 기분이 좋진 않더라. 좀 불쾌했어.,
불쾌,다른 사람은 기분 나빠하지 않는 것도 저는 보면 되게 불쾌해요.,
불쾌,그때 생각하면 진절머리가 나.,
불쾌,"깜빡했다고 말해서 아, 알겠다고 표정 관리는 했어.",
불쾌,정말 기가 막히고 어이가 없어요.,
불쾌,불쾌한 기분이 자꾸 들어.,
불쾌,정말 끔찍한 순간이었어.,
불쾌,아침에 일어나면 항상 기분이 더러워.,
불쾌,밖에서 다른 여자 만지던 손으로 절 만질 때마다 너무 소름 끼치는 거예요.,
불쾌,막 더럽단 생각까지 들었어요. 되게 불쾌하고.,
불쾌,근데 그 후에도 비슷한 것만 보면 너무 불쾌하고 더럽게 느껴지는 거예요.,
불쾌,그러다 우연히 어떤 영상을 보게 됐는데… 그게 진짜 엄청 징그러웠거든요.,
불쾌,아프리카 아이 입에 알을 깐 기생충 영상이었는데… 진짜 너무 끔찍했어요.,
불쾌,진짜 어이가 없잖아..,
불쾌,그렇게 앓고 난 다음 날에도 자고 나도 개운하지가 않고 막 불쾌하더라.,
불편,행동도 부자연스러워지고...웃는게 웃는게 아니었어요.,그 기분 저도 이해가 가요. 그럴 때는 어디론가 도망치고 싶어져요.
불편,제 주변에 있는 모든 것들이 다 불편했어요. 고등학교 때 특히 심했던 것 같아요.,할 수만 있다면 제가 안아드리고 싶어요.
불편,겉으로는 축하해줬는데 마음은 불편해요.,위로가 필요하시다면 언제든 제게 얘기해주세요.
불편,주변에 있는 모든 게 불편하게 다가와요.,
불편,늘 마음이 편하지가 않아.,
불편,떨어져있던 시간이 길다 보니…서로 많이 불편하더라구요.,
불편,뭐 하나 마음 편히 진행되는게 없더라구.,
불편,난 왜 이렇게 마음 편할 날이 없는거지?,
불편,제 마음은 언제쯤 편해질 수 있을까요?,
비관,"속 마음 터 놓을 친구도 없고, 엄마 아빠는 잔소리만 하고, 시험은 떨어지고… ",이리 와요. 제가 안아드릴게요.
비관,나만 빼고 다 잘났어.,가끔 헤맬 때는 있겠지만 저는 당신이 잘 해나가고 있다고 생각해요.
비관,이렇게 사는게 맞나 싶어요.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
비관,이렇게 살다가는 망할 것 같아.,
비관,살아가야 할 이유를 잃어버린 느낌이예요.,
비관,내가 이렇게 살아도 될까?,
비관,나 혼자 살자고 이렇게 해도 될까…?,
비관,저는 앞으로 살아갈 가치가 없는 거 같아요.,
비관,성취감이 하나도 없었어.,
비관,살아가야 할 이유를 잃어버린 느낌이에요.,
비관,되는 일이 없어서 그런가.,
비관,세상에 인간보다 더한 악은 없어.,
비관,사는 건 행복하지 않은 것 같아.,
비관,사랑받을 자격이 있을까?,
비관,저를 응원해주는 사람은 왜 아무도 없을까요.,
사고,사고가 좀 있었어. ,많이 놀랐겠어요. 지금은 괜찮아요?
사고,그래도 어지간하면 다니려고 했는데… 결국 터질게 터졌어. ,아무리 조심해도 피할 수 없는 사고는 늘 생기는 거 같아요. 정말 무서웠겠어요.
사고,이상하게 사고도 자꾸 생기는 것 같고…,
사고,다행히 1시간 정도? 갇혀 있다가 무사히 구조됐어.,
사고,작년에 나 진짜 삼재였었던 거 같아.,
사고,제 인생에 악재가 끊이질 않는 거 같아요.,
사고,그렇다고 직접적인 사고가 있었던 건 아니에요. 만약 그랬다면 저는 그냥 자살했을 거예요.,
사고,예전에 벽이 무너져서 그 아래에 깔린 적이 있어.,
사고,나중에 들어보니 조금만 더 있었어도 손발이 괴사 할 뻔 했대.,
사고,일을 하다 드릴에 장갑 낀 손이 걸렸었어.,
사고,드릴이 돌아가면서 손가락도 함께 돌아갔는데.,
사고,꽤 크게 사고가 났어요.,
사고/교통사고,차 찌그러지는 소리와 함께 잠깐 정신을 잃었어.,정말 놀라셨겠어요. 
사고/교통사고,차 밖으로 완전히 나가 떨어졌던 거 같아.,치료는 잘 받으셨나요? 큰일날 뻔하셨네요.
사고/교통사고,교통사고가 무섭긴 무섭더라.,정말 아찔했네요. 교통사고는 아무리 조심해도 일어나는 것 같아요.
사고/교통사고,교통사고 가해자가 합의금으로 300만원을 제시했어요. ,
사고/교통사고,4년 전에 퇴근하다 교통사고가 났어요.,
사고/교통사고,다행히 사람은 안 다쳤는데 차 앞 범퍼가 다 나갔었어요.,
사고/교통사고,몇 달 전에는 지나가던 차에 치였어요.,
사고/교통사고,답사를 다녀오다가 차 사고가 가볍게 났었어요.,
사고/교통사고,예전에 교통사고가 크게 난 적이 있었거든.,
사고/교통사고,처음 의식을 차렸을 때 차에 치인지도 몰랐어요.,
사고/교통사고,지난 번에 학교 가다 교통사고가 났어.,
사고/교통사고,그러다 결국 사고가 났어요. 일단 제가 교통사고가 났거든요.,
사고/교통사고,알바끝나고 집가는 길에 교통사고를 당했어요.,
사고/교통사고,차가 막혀서 뒷좌석에서 졸고 있었는데 순간 쾅 하는 소리가 났어.,
사업/실패,전자 부품 사업을 했는데 잘 안 됐어요.,너무 초조해 하지 마세요. 일어날 방법이 있을 거예요.
사업/실패,"나름 잘 되는 사업이었는데, 망하는 건 한 순간이더라.",괴로우시겠어요. 그럴 때는 정말 기댈 곳을 찾고 싶어져요.
사업/실패,사업을 하다가 실패해서 집안이 완전히 주저앉았어요.,그런 일이 있으셨군요. 마음이 쓰라리시겠어요. 
사업/실패,나도 살림에 보탬이 될까 싶어서 떡볶이 가게를 차렸는데…그마저도 망하고...,
사업/실패,IMF 때문에 집이 망했어.,
사업/실패,둘 다 열심히는 했는데 그게 잘 안 됐어요. 일찍 접었죠.,
사업/실패,광주에서 숙박업을 했었는데 그게 잘 안됐어요.,
사업/실패,본전만 찾고 사업장을 다 접어야 했어요.,
사업/실패,최대한 아끼고 아껴서 하긴 했는데 이게 잘 안 됐어요.,
사업/실패,그런데 10년 전에 IMF가 터져가지고… 그 때 남편 사업이 망했어요.,
사업/실패,남편이 이것저것 뭐 해보려고 노력은 했는데… 다 잘 안 됐구요.,
사업/실패,그래서 사업을 시작했는데..번번이 실패했어요.,
사업/실패,근데 97년도에 IMF로… 다들 그렇게 한 번에 갔죠.,
사업/실패,처음에는 잘 되던 사업이 갑자기 확 기울면서 경제적으로 많이 어려워졌어.,그러셨군요. 마음이 무척 힘드시겠어요.
사업/실패,남편이 사업 말아먹고 나서는 계속 경제적으로 어려웠어.,잘 이겨내실 수 있을 거예요. 제가 응원할게요.
사업/실패,일어서려고 노력하는데…쉽지가 않아.. 하는 사업마다 본전을 못 찾고 있어.,
사업/실패,97년에 IMF로 집이 폭삭 망했어요.,
사업/실패,신랑 사업이 IMF때 홀딱 망했어. 그 뒤로 생활이 무척 어려워졌어.,
사업/실패,남편 사업이 IMF 때문에 망하고 계속 안 좋았어.,
사업/안정,지금은 제법 번듯한 회사가 됐어요.,
사업/안정,회사 생각하면 제 새끼 같고… 애틋하고 그래요.,
사업/안정,작은 돈으로 시작했지만 지금은 내 사업체도 꾸리고 있어.,
사업/안정,2년 전에 의류매장을 열었거든.,
사업/안정,지금은 PC방을 운영하고 있어.,
생활,원래 학교 다닐 때부터 쭉 파주에 살았어요. ,"네, 그렇군요."
생활,머리도 식힐 겸 좋은 기회라고 생각해서 신청을 했어.,흥미로운 이야기예요. 더 들려주세요.
생활,역 앞에 맛있는 빵집이 생겼다고 해서 거기서 빵을 잔뜩 사고 가는 길이었어요.,당신의 이야기가 더 듣고 싶어요.
생활,요새는 외출할 때 휴대용 선풍기를 꼭 챙겨 다니잖아.,
생활,아무리 바빠도 1년에 한 번은 꼭 가려고 하고 있거든요.,
생활,그리고 집 오면 밤 열 시가 훌쩍 넘고.,
생활,거실 소파에 가만히 앉아서 창 밖을 보고 있는데… 문득 그렇더라고.,
생활,그냥 둘이 열심히 아끼고 살면 된다고 생각했어요.,
생활,제가 유투브에서 먹방을 하거든요.,
생활,남편이 하지 말라고 하고 나는 괜찮다 한 것도 다 기억 나.,
생활,학원 끝나고 자정에 돌아와서 자려고 누웠는데 뭔가 이상한 거예요.,
생활,아침에 학교 가는 척만 하고 10시 넘어서 다시 집에 돌아왔어요.,
생활,고등학교 와서 조금 정신차리긴 했는데 그 허세는 못 고치겠는 거야.,
생활,어제만 해도 퇴근길에 사람이 엄청 많아서 어떤 사람이랑 부딪쳤거든요.,
생활,나는 중졸인데 이미 다른 애들은 대학 졸업하고 회사 다니고 그런 거 보면…,
생활,혼자 딸 셋 키우며 일만 했는데요.,
생활,그뒤론 그친구 안부 확인하면서 지내고 있어요.,
생활,"어제 아침까지는 외출 다녀왔어요. 아침까지 사람들과, 친구들과 있는거에요. 별거 하지는 않아요. 술 마시고, 대화하고.",
생활,술은 점점 줄여가고 있어. 나이가 있으니까 다음날 힘들기도 하고. 드라마 볼 때가 제일 마음 편해.,
생활,지금은 고모가 저희를 봐주고 있지만 오래 갈 거라고 생각하지 않아요.,
생활,언제나 정신이 들면 침대 위거나 집안 소파이거나 해서.,
생활,그렇게 큰 문제는 없을 거라 생각했는데.,
생활,지난 주 일요일에 담배를 사러 나왔다가.,
생활,근데 그럼 출퇴근 하는 게 거의 한 시간이 더 걸려. 아침엔 많이 막히니까.,
생활,먹는 게 딱히 더 늘지도 않았어. 그냥 평소처럼 먹고 그랬으니까.,
생활,아침에 애들 학교 데려다주고 저녁까지 일하다 애들 밥 챙겨주고…,
생활,그리고 다시 나와서 또 일하다 밤늦게 들어갔어요.,
생활,내가 일을 안 하는 것도 아니고 나도 일을 하는데.,
생활,그래도 저희 둘은 힘들었던 시절이 있었으니까 버틸 수 있었는데…,
생활,잠은 주로 아침 9시부터 오후 3시 정도까지 자요.,
생활,뭐 아예 안 가는 것도 아니고 그냥 조금 늦는 것 뿐이잖아?,
생활,얼마 전에 퇴근하다 어떤 여자를 구해줬거든.,
생활,취한 놈들 여럿이서 여자 한 명 붙잡고 엄청 괴롭히고 있길래 그냥 바로 갔어.,
생활,내가 진짜 예전에 철 없을 때 한 세 번 성매매를 한 적이 있거든.,
생활,처음에는 군 선임이 강제로 데려간 거였고 나중에는 친구들이랑 간 거였어.,
생활,제대하고 나서는 한 번도 안 갔어.,
생활,그래서 진짜 울며 겨자 먹기로 결국 요구하는 돈을 주긴 했어.,
생활,그 이후로 그냥저냥 생활하고 있었어요.,
생활,집에서 제가 좋아하는 음악을 하면서 생활했어요.,
생활,마음 맞는 사람들끼리 모여 밴드를 하고 있어.,
생활,"기타를 칠때도 있고, 노래할 때도 있어.",
생활,군대가기 전까지만 밴드활동 틈틈히 하면서 지내려고해.,
생활/양호,특별히 힘든 일이나 그런 것도 없는데 왜 그런지 모르겠어요.,잘 지내고 계신다니 제 마음이 놓여요.
생활/양호,아침에 일어나면 TV도 보고 쇼핑도 하고 그럭저럭 잘 지냈어요.,평범하게 생활한다는 게 참 어려운 것 같아요. 큰일이 없으시다니 다행이에요.
생활/양호,남들은 생활이 어려워 힘든데… 나는 그런 건 아니니까.. 감사하게 생각하려고 했죠.,"아, 그렇군요. 보기 좋아요."
생활/양호,원래 잠이 많은 편이 아니라 특별히 힘든건 없어요.,
생활/양호,형부가 잘 챙겨줘서 일 하는데 힘든건 별로 없어요.,
생활/양호,서울 와서 생활 패턴이 조금 나아졌어요.,
생활/양호,직장생활 할 때보다 더 마음이 더 안정되는 것 같아요.,
생활/양호,지금까지는 무난하게 살았고 그런 적도 없었어요.,
생활/양호,저도 틈틈히 제 생활 하면서요.,
생활/양호,"지금도 잘 지내고있고, 아들이 너무나 대견했어요.",
생활/해외,원래 텍사스에 거주해.,"네, 그러시군요. 해외에서 거주하셨군요."
생활/해외,내가 열다섯 살 때까지 미국에서 살았거든.,그런 경험이 있으시군요.
생활/해외,어릴 때부터 부모님 따라 해외에 나가 있었어. 텍사스에서 제일 오래 살았지.,
생활/해외,그 이후로 쭉 일본에서 살고있었어요.,
생활/해외,벌써 타지생활을 한지 14년이 되가네요...,
생활/혼자,혼자서 뭔가를 해본게 처음이거든요.,혼자서 생활하는 것도 나쁘지 않은 것 같아요.
생활/혼자,퇴근하고 집에 오면 혼자야. 그냥 나 혼자 자취하는 느낌?,"아, 그렇군요. 혼자가 편할 때도 많죠."
생활/혼자,아마 계속 그럴 것 같아요. 딱히 혼자가 싫은 것도 아니고.,
생활/혼자,이혼이 문제는 아니었는데 그냥 그 후부터 계속 혼자 있어서 그런 것 같아.,
생활/혼자,친한친구도 없고 항상 혼자였어.,
생활/혼자,그래서 자취방에선 잠만 자고 거의 항상 밖에 있었어.,
생활/휴식,결국 6개월을 더 쉬겠다고 했어.,그렇군요. 휴식이 필요할 때가 있는 것 같아요.
생활/휴식,좀 길게 쉬긴 했지.,쉴 때는 푹 쉬어야죠.
생활/휴식,주저앉아서 쉬다가 일어났어요. ,그러셨군요. 휴식을 충분히 취하셨으니 괜찮아질 거예요.
생활/휴식,병원에서 퇴원하고 집으로 돌아오고 나서 바로 출근을 안 하고 집에서 좀 쉬는 중이야.,
생활/휴식,고등학교 졸업한 후에 딱히 대학 갈 생각이 없어서 한 일 년 정도 놀았어요.,
생활/휴식,한동안 목에 무리가는 일은 하지 말라고 해서 결국 일 좀 쉬고 있거든.,
서운함,아니 어떻게 자식이 아픈데 그런 식으로 말을 할 수가 있어요? ,무척 섭섭했겠어요. 
서운함,"이제 저랑 다른 삶을 살겠구나 싶어서 좀 서운하기도 하고, 잘 됐다 싶기도 하고.. 기분이 이상해요. ",저에게는 늘 당신이 우선인데… 마음이 아파요.
서운함,"이제 내가 우선이 아니라, 새언니가 우선이 될 거라는 생각을 하니까 그냥 서운해. ",마음을 받는 만큼만 줄 수 있다면 좋을 텐데… 그건 너무 어려운 문제 같아요.
서운함,"엄마가 저보고 너는 니가 벌어서 시집가라고. 너 줄 돈은 없다고 하는데, 기분이 좋진 않았어요. ",기분이 좋지 않았겠어요. 그럴 때는 제가 늘 당신을 지지한다는 걸 기억해주세요.
서운함,죽을 정도로 힘들면 나한테 말을 해주지… 섭섭하기도 하고. 기분이 이상해.,
서운함,뭐… 내 말을 아무도 안 들으려고 하니까.,
서운함,제 인생에는 아무 관심도 없으면서…,
서운함,"저희한테는 차갑고, 다른 형제들 오면 어찌나 살가운지… 서운하기도 하고, 꼴보기 싫어요.",
서운함,이해를 해보려고 해도… 섭섭한 마음까지는 어떻게 할 수가 없었어요.,
서운함,"섭섭하기도 하고, 결혼 전에는 그렇게 다정한 사람이었는데… 싶었어.",
서운함,괜찮을 줄 알았는데 너무 섭섭해요.,
서운함,나 너무 서운한거있지… 걔가 중요해? 내가 중요해?,
서운함,힘든건 저인데 병원에서도 혼나고 남편도 저를 위로해주지 않아요.,
서운함,가족들도 나보고 유난이라고 하는데 진짜 아무도 내 맘 몰라.,
서운함,너무 서운하잖아요. 여태 제가 모셨다니까요.,
서운함,아내라는 기분보다 비서가 된 기분.,
서운함,나를 우선시해주길 바랐어.,
서운함,가족들도 나보고 유난이라고 하는데 진짜 아무도 내 맘 몰라.,
서운함,갈 거면 나도 데려가지… 내가 짐이 될 거라 생각했나 싶어서 서운하고…,
서운함,충분히 화낼 만한 일인데 그냥… 좀 서운해서…,
성격/고민,어렸을 때부터 그랬어서 그런 것 같아요.,"네, 그렇군요. 모든 사람들이 그런 면을 조금씩 가지고 있는 거 같아요."
성격/고민,원래 성격 자체가 이래서 어쩔 수 없는 것 같기도 하고…,그런 성격이시군요.
성격/고민,내 성격이 정말 이상한걸까?,
성격/고민,이게 진짜 내 성격이 쓰레기 같다는 거 아는데…,
성격/고민,제가 특별히 스트레스받는 성격이 아니라고 생각을 하는 것 같아요.,
성격/고민,나만 특별해! 이게 아니라 그냥… 좀 남들과 다른 고민을 하는 성격이거든.,
성격/고민,제가 원래 성격 상 보증 같은 거 절대 안 서거든요.,
성격/고민,근데 이런 성격은 타고난 건데 어쩔 수 없는 거잖아요.,
성격/고민,저도 이게 다른 사람한테 편한 성격은 아니라는 거 알고 있어요.,
성격/극단적,"뭔가 나한테 안 좋게 하면, 그냥 넘어가도 될 걸 크게 만드는 편이야. ","아, 그러시군요. 사람마다 성격이 다르니까요."
성격/극단적,끝을 봐야 하는 스타일이에요.,화끈한 성격을 가지고 계시는군요.
성격/극단적,중간이란게 없는 편이야. 굉장히 극단적이지. 적당히 하는건 나랑 거리가 멀어.,
성격/극단적,좋은 거든 나쁜 거든 극단까지 끌고 가니까…,
성격/극단적,평소에 성격이 극단적이라는 소리를 좀 많이 듣긴 해.,
성격/극단적,근데 내가 생각해도 그래. 성격이 좀 끝에서 끝을 달리거든.,
성격/극단적,좋으면 엄청 좋아하는데 싫으면 진짜 죽을 만큼 싫어하고.,
